longitude,latitude,flood_susceptibility,risk_class,risk_label
6.950671140939598,5.443847899328859,0.8628768487459169,3.0,high
6.950671140939598,5.444407181208054,0.8604504960746848,3.0,high
6.950671140939598,5.4449664630872485,0.8582747536682314,3.0,high
6.950671140939598,5.445525744966443,0.8563182686542843,3.0,high
6.950671140939598,5.446085026845638,0.8545528353779273,3.0,high
6.950671140939598,5.446644308724832,0.8529532786304685,3.0,high
6.950671140939598,5.447203590604027,0.8514972812587835,3.0,high
6.950671140939598,5.447762872483222,0.8501651780754678,3.0,high
6.950671140939598,5.448322154362416,0.848939732635863,3.0,high
6.950671140939598,5.448881436241611,0.8478059090462018,3.0,high
6.950671140939598,5.4494407181208055,0.846750647434851,3.0,high
6.950671140939598,5.45,0.8448935228495214,3.0,high
6.951342281879195,5.366667,0.6821131022203217,3.0,high
6.951342281879195,5.367226281879194,0.6824672057086325,3.0,high
6.951342281879195,5.367785563758389,0.6827272085914236,3.0,high
6.951342281879195,5.3683448456375835,0.682996478510899,3.0,high
6.951342281879195,5.368904127516778,0.6832750783945165,3.0,high
6.951342281879195,5.369463409395973,0.6835630656966302,3.0,high
6.951342281879195,5.370022691275167,0.6838604924880994,3.0,high
6.951342281879195,5.370581973154362,0.6841674055721308,3.0,high
6.951342281879195,5.371141255033557,0.68448384662773,3.0,high
6.951342281879195,5.371700536912751,0.6848098523826233,3.0,high
6.951342281879195,5.372259818791946,0.7851454548178722,3.0,high
6.951342281879195,5.3728191006711405,0.7854906814069933,3.0,high
6.951342281879195,5.373378382550335,0.7858455553929857,3.0,high
6.951342281879195,5.37393766442953,0.7862100961075178,3.0,high
6.951342281879195,5.374496946308724,0.7865843193371693,3.0,high
6.951342281879195,5.375056228187919,0.7869682377426039,3.0,high
6.951342281879195,5.375615510067114,0.7873618613376068,3.0,high
6.951342281879195,5.376174791946308,0.7877651980357714,3.0,high
6.951342281879195,5.376734073825503,0.7881782542739184,3.0,high
6.951342281879195,5.377293355704698,0.7886010357224011,3.0,high
6.951342281879195,5.377852637583892,0.7890335480935522,3.0,high
6.951342281879195,5.378411919463087,0.7894757980607565,3.0,high
6.951342281879195,5.3789712013422815,0.7899277943016874,3.0,high
6.951342281879195,5.379530483221476,0.7903895486802539,3.0,high
6.951342281879195,5.380089765100671,0.7908610775826292,3.0,high
6.951342281879195,5.380649046979865,0.7913424034234444,3.0,high
6.951342281879195,5.38120832885906,0.7918335563385754,3.0,high
6.951342281879195,5.381767610738255,0.792334576081059,3.0,high
6.951342281879195,5.382326892617449,0.7928455141363049,3.0,high
6.951342281879195,5.382886174496644,0.793366436071866,3.0,high
6.951342281879195,5.3834454563758385,0.7938974241358137,3.0,high
6.951342281879195,5.384004738255033,0.7944385801154228,3.0,high
6.951342281879195,5.384564020134228,0.7949900284652054,3.0,high
6.951342281879195,5.385123302013422,0.7955519197095808,3.0,high
6.951342281879195,5.385682583892617,0.7961244341209268,3.0,high
6.951342281879195,5.386241865771812,0.7967077856680174,3.0,high
6.951342281879195,5.386801147651006,0.7973022262233087,3.0,high
6.951342281879195,5.387360429530201,0.7979080500096187,3.0,high
6.951342281879195,5.3879197114093955,0.7985255982579427,3.0,high
6.951342281879195,5.38847899328859,0.7991552640379578,3.0,high
6.951342281879195,5.389038275167785,0.799797497211473,3.0,high
6.951342281879195,5.389597557046979,0.8004528094469348,3.0,high
6.951342281879195,5.390156838926174,0.8011217792195746,3.0,high
6.951342281879195,5.390716120805369,0.8018050567074888,3.0,high
6.951342281879195,5.391275402684563,0.8025033684788401,3.0,high
6.951342281879195,5.391834684563758,0.8032175218497049,3.0,high
6.951342281879195,5.3923939664429525,0.803948408775566,3.0,high
6.951342281879195,5.392953248322147,0.8046970091232786,3.0,high
6.951342281879195,5.393512530201342,0.8054643931534797,3.0,high
6.951342281879195,5.394071812080536,0.8062517230270565,3.0,high
6.951342281879195,5.394631093959731,0.8070602531333368,3.0,high
6.951342281879195,5.395190375838926,0.8078913290222143,3.0,high
6.951342281879195,5.39574965771812,0.8087463847075573,3.0,high
6.951342281879195,5.396308939597315,0.8096269380956052,3.0,high
6.951342281879195,5.39686822147651,0.8105345842789176,3.0,high
6.951342281879195,5.397427503355704,0.8114709864237202,3.0,high
6.951342281879195,5.397986785234899,0.8124378639664711,3.0,high
6.951342281879195,5.3985460671140935,0.8134369778218327,3.0,high
6.951342281879195,5.399105348993288,0.8144701122891704,3.0,high
6.951342281879195,5.399664630872483,0.815539053325044,3.0,high
6.951342281879195,5.400223912751677,0.816645562822153,3.0,high
6.951342281879195,5.400783194630872,0.817791348497164,3.0,high
6.951342281879195,5.401342476510067,0.8189780289344424,3.0,high
6.951342281879195,5.401901758389261,0.8202070932530692,3.0,high
6.951342281879195,5.402461040268456,0.8214798547511448,3.0,high
6.951342281879195,5.4030203221476505,0.82279739772281,3.0,high
6.951342281879195,5.403579604026845,0.8241605164270196,3.0,high
6.951342281879195,5.40413888590604,0.8255696448984073,3.0,high
6.951342281879195,5.404698167785234,0.8270247759170437,3.0,high
6.951342281879195,5.405257449664429,0.8285253669876491,3.0,high
6.951342281879195,5.405816731543624,0.8300702306224172,3.0,high
6.951342281879195,5.406376013422818,0.8316574056010879,3.0,high
6.951342281879195,5.406935295302013,0.8332840052604467,3.0,high
6.951342281879195,5.4074945771812075,0.8349460383722958,3.0,high
6.951342281879195,5.408053859060402,0.8366381980327906,3.0,high
6.951342281879195,5.408613140939597,0.8383536145850794,3.0,high
6.951342281879195,5.409172422818792,0.8400835705119085,3.0,high
6.951342281879195,5.409731704697987,0.8418171792932205,3.0,high
6.951342281879195,5.4102909865771815,0.8435410375040735,3.0,high
6.951342281879195,5.410850268456376,0.8452388711255483,3.0,high
6.951342281879195,5.411409550335571,0.8468912141148872,3.0,high
6.951342281879195,5.411968832214765,0.8484751796939356,3.0,high
6.951342281879195,5.41252811409396,0.8499644103079802,3.0,high
6.951342281879195,5.413087395973155,0.8513293148183709,3.0,high
